class_weight,criterion,file,max_depth,max_features,max_leaf_nodes,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,presort,random_state,results,splitter
,gini,HSMGP,,,10.0,1e-07,1,2,0.0,False,,./data4/HSMGP-0001-classification.csv,best
,mse,HSMGP,,,10.0,1e-07,1,2,0.0,False,,./data4/HSMGP-0002-regression.csv,best
,entropy,HSMGP,,,10.0,1e-07,1,2,0.0,False,,./data4/HSMGP-0003-classification.csv,best
,mae,HSMGP,,,10.0,1e-07,1,2,0.0,False,,./data4/HSMGP-0004-regression.csv,best
,gini,HSMGP,,,10.0,1e-07,2,2,0.0,False,,./data4/HSMGP-0005-classification.csv,best
,mse,HSMGP,,,10.0,1e-07,2,2,0.0,False,,./data4/HSMGP-0006-regression.csv,best
,entropy,HSMGP,,,10.0,1e-07,2,2,0.0,False,,./data4/HSMGP-0007-classification.csv,best
,mae,HSMGP,,,10.0,1e-07,2,2,0.0,False,,./data4/HSMGP-0008-regression.csv,best
,gini,HSMGP,,,10.0,1e-07,4,2,0.0,False,,./data4/HSMGP-0009-classification.csv,best
,mse,HSMGP,,,10.0,1e-07,4,2,0.0,False,,./data4/HSMGP-0010-regression.csv,best
,entropy,HSMGP,,,10.0,1e-07,4,2,0.0,False,,./data4/HSMGP-0011-classification.csv,best
,mae,HSMGP,,,10.0,1e-07,4,2,0.0,False,,./data4/HSMGP-0012-regression.csv,best
,gini,HSMGP,,,10.0,1e-07,6,2,0.0,False,,./data4/HSMGP-0013-classification.csv,best
,mse,HSMGP,,,10.0,1e-07,6,2,0.0,False,,./data4/HSMGP-0014-regression.csv,best
,entropy,HSMGP,,,10.0,1e-07,6,2,0.0,False,,./data4/HSMGP-0015-classification.csv,best
,mae,HSMGP,,,10.0,1e-07,6,2,0.0,False,,./data4/HSMGP-0016-regression.csv,best
,gini,HSMGP,,,10.0,1e-07,8,2,0.0,False,,./data4/HSMGP-0017-classification.csv,best
,mse,HSMGP,,,10.0,1e-07,8,2,0.0,False,,./data4/HSMGP-0018-regression.csv,best
,entropy,HSMGP,,,10.0,1e-07,8,2,0.0,False,,./data4/HSMGP-0019-classification.csv,best
,mae,HSMGP,,,10.0,1e-07,8,2,0.0,False,,./data4/HSMGP-0020-regression.csv,best
,gini,HSMGP,,,10.0,1e-07,10,2,0.0,False,,./data4/HSMGP-0021-classification.csv,best
,mse,HSMGP,,,10.0,1e-07,10,2,0.0,False,,./data4/HSMGP-0022-regression.csv,best
,entropy,HSMGP,,,10.0,1e-07,10,2,0.0,False,,./data4/HSMGP-0023-classification.csv,best
,mae,HSMGP,,,10.0,1e-07,10,2,0.0,False,,./data4/HSMGP-0024-regression.csv,best
,gini,HSMGP,,,20.0,1e-07,1,2,0.0,False,,./data4/HSMGP-0025-classification.csv,best
,mse,HSMGP,,,20.0,1e-07,1,2,0.0,False,,./data4/HSMGP-0026-regression.csv,best
,entropy,HSMGP,,,20.0,1e-07,1,2,0.0,False,,./data4/HSMGP-0027-classification.csv,best
,mae,HSMGP,,,20.0,1e-07,1,2,0.0,False,,./data4/HSMGP-0028-regression.csv,best
,gini,HSMGP,,,20.0,1e-07,2,2,0.0,False,,./data4/HSMGP-0029-classification.csv,best
,mse,HSMGP,,,20.0,1e-07,2,2,0.0,False,,./data4/HSMGP-0030-regression.csv,best
,entropy,HSMGP,,,20.0,1e-07,2,2,0.0,False,,./data4/HSMGP-0031-classification.csv,best
,mae,HSMGP,,,20.0,1e-07,2,2,0.0,False,,./data4/HSMGP-0032-regression.csv,best
,gini,HSMGP,,,20.0,1e-07,4,2,0.0,False,,./data4/HSMGP-0033-classification.csv,best
,mse,HSMGP,,,20.0,1e-07,4,2,0.0,False,,./data4/HSMGP-0034-regression.csv,best
,entropy,HSMGP,,,20.0,1e-07,4,2,0.0,False,,./data4/HSMGP-0035-classification.csv,best
,mae,HSMGP,,,20.0,1e-07,4,2,0.0,False,,./data4/HSMGP-0036-regression.csv,best
,gini,HSMGP,,,20.0,1e-07,6,2,0.0,False,,./data4/HSMGP-0037-classification.csv,best
,mse,HSMGP,,,20.0,1e-07,6,2,0.0,False,,./data4/HSMGP-0038-regression.csv,best
,entropy,HSMGP,,,20.0,1e-07,6,2,0.0,False,,./data4/HSMGP-0039-classification.csv,best
,mae,HSMGP,,,20.0,1e-07,6,2,0.0,False,,./data4/HSMGP-0040-regression.csv,best
,gini,HSMGP,,,20.0,1e-07,8,2,0.0,False,,./data4/HSMGP-0041-classification.csv,best
,mse,HSMGP,,,20.0,1e-07,8,2,0.0,False,,./data4/HSMGP-0042-regression.csv,best
,entropy,HSMGP,,,20.0,1e-07,8,2,0.0,False,,./data4/HSMGP-0043-classification.csv,best
,mae,HSMGP,,,20.0,1e-07,8,2,0.0,False,,./data4/HSMGP-0044-regression.csv,best
,gini,HSMGP,,,20.0,1e-07,10,2,0.0,False,,./data4/HSMGP-0045-classification.csv,best
,mse,HSMGP,,,20.0,1e-07,10,2,0.0,False,,./data4/HSMGP-0046-regression.csv,best
,entropy,HSMGP,,,20.0,1e-07,10,2,0.0,False,,./data4/HSMGP-0047-classification.csv,best
,mae,HSMGP,,,20.0,1e-07,10,2,0.0,False,,./data4/HSMGP-0048-regression.csv,best
,gini,HSMGP,,,30.0,1e-07,1,2,0.0,False,,./data4/HSMGP-0049-classification.csv,best
,mse,HSMGP,,,30.0,1e-07,1,2,0.0,False,,./data4/HSMGP-0050-regression.csv,best
,entropy,HSMGP,,,30.0,1e-07,1,2,0.0,False,,./data4/HSMGP-0051-classification.csv,best
,mae,HSMGP,,,30.0,1e-07,1,2,0.0,False,,./data4/HSMGP-0052-regression.csv,best
